,0,1,2,3,4,5,6
0,NP_663777,Q13114,1FLK,NP_001233,P26842,5TL5,1
1,NP_003630,Q9Y6K9,2JVX,NP_001073594,Q14790,1F9E,1
2,NP_003001,P45985,3ALN,NP_006292,Q12852,5CEN,1
3,NP_060901,Q9P104,1J0W,NP_000199,P06213,1GAG,1
4,NP_001020276,P48729,5FQD,NP_001895,P35222,1G3J,1
5,NP_005973,Q15475,4EGC,NP_005068,Q04724,1GXR,1
6,NP_003334,P60604,2CYX,NP_000453,Q05086,1C4Z,1
7,NP_000124,P00740,1CFH,NP_000123,P00451,1CFG,1
8,NP_003712,O14593,3UXG,NP_000529,O00287,2KW3,1
9,NP_002801,P55036,1P9C,NP_038466,Q9UMX0,2JY5,1
10,NP_005493,O95477,5XJY,NP_937879,O15085,1HTJ,1
11,NP_004214,O14933,1WZV,NP_004553,O60260,1IYF,1
12,NP_061828,P0CG47,2KHW,NP_004055,P46527,1H27,1
13,NP_057661,Q9NRW1,2E9S,NP_004603,P36897,1B6C,1
14,NP_000917,P06401,1A28,NP_056986,O95071,1I2T,1
15,NP_056318,Q9NRF2,5W3R,NP_002077,P62993,1AZE,1
16,NP_038466,Q9UMX0,2JY5,NP_000741,P30926,2ASG,1
17,NP_008830,O43837,6KDE,NP_002964,Q99700,3KTR,1
18,NP_647593,O00499,1MUZ,NP_009297,P00519,1AB2,1
19,NP_006316,P62826,1I2M,NP_001020272,P02686,1BX2,1
20,NP_000210,P15382,2K21,NP_000229,Q12809,1BYW,1
21,NP_002960,P53778,1CM8,NP_002077,P62993,1AZE,1
22,NP_002537,O00300,3URF,NP_000629,P04004,1OC0,1
23,NP_001296,O14493,5B2G,NP_003248,Q07157,2H2B,1
24,NP_058633,P09884,1K0P,NP_000537,P04637,1A1U,1
25,NP_001246,Q12834,4GGA,NP_001202,O60566,2WVI,1
26,NP_001092,P60709,3BYH,NP_060649,Q6VMQ6,2RPQ,1
27,NP_003617,Q13136,1N7F,NP_002831,P10586,1LAR,1
28,NP_001090,P15309,1CVI,NP_004439,P04626,1MFG,1
29,NP_006249,Q13976,1ZXA,NP_002914,P41220,2AF0,1
30,NP_005602,Q08999,4XI9,NP_002625,P35232,1LU7,1
31,NP_116764,P42575,1PYO,NP_932070,P55957,1ZY3,1
32,NP_009298,P42684,2ECD,NP_058431,P46108,1JU5,1
33,NP_006353,Q9UBU9,1FO1,NP_003601,P78406,3MMY,1
34,NP_001020276,P48729,5FQD,NP_000537,P04637,1A1U,1
35,NP_002341,P07948,1W1F,NP_000213,P10721,1PKG,1
36,NP_003870,O15519,2N5R,NP_002871,P04049,1C1Y,1
37,NP_056097,Q7Z460,4K92,NP_036457,Q15691,1PA7,1
38,NP_005612,P80511,1E8A,NP_001127,Q15109,1PWI,1
39,NP_015561,Q9H6Z4,2CRF,NP_001041659,P18754,1A12,1
40,NP_000052,Q06187,1AWW,NP_002728,P17252,2ELI,1
41,NP_005609,O00548,4XBM,NP_036433,Q86UL8,1UEP,1
42,NP_006564,Q9Y275,1JH5,NP_001183,Q02223,1OQD,1
43,NP_004955,Q13547,1TYI,NP_612482,P08047,1SP1,1
44,NP_036229,Q9Y689,1Z6Y,NP_002257,P52292,1EFX,1
45,NP_002768,P24158,1FUJ,NP_068810,Q04206,1NFI,1
46,NP_000204,P16144,1QG3,NP_899236,Q03001,3GJO,1
47,NP_001547,O14920,3BRT,NP_001073594,Q14790,1F9E,1
48,NP_002728,P17252,2ELI,NP_000825,Q13224,1S11,1
49,NP_005347,P06239,1BHF,NP_644805,P40763,5AX3,1
50,NP_892113,P29353,1MIL,NP_000116,P03372,1A52,1
51,NP_004746,O75582,1VZO,NP_004947,P50549,4AVP,1
